"","logFC","logCPM","PValue","FDR"
"ENST00000362723",3.31560868150572,7.77920930342952,3.00647463659008e-41,1.58140565884638e-38
"ENST00000364370",2.96424543961087,6.14081906011203,8.97046239258024e-41,2.3592316092486e-38
"ENST00000362705",3.37885003499209,9.29787839384864,2.51681233289279e-38,4.41281095700536e-36
"ENST00000364969",3.01685323242578,8.94498092988662,1.05359224217273e-35,1.38547379845714e-33
"ENST00000363130",3.60515756755082,6.35503957088623,7.40379575499012e-34,7.7887931342496e-32
"ENST00000365400",2.95108676254699,10.2698512569517,6.19995443350485e-33,5.43529338670592e-31
"ENST00000365423",2.78000759528867,6.85387681553032,4.87506787507896e-32,3.66326528898791e-30
"ENST00000363497",2.87266510513091,8.60261672883332,6.4635820846744e-32,4.24980522067342e-30
"ENST00000410253",3.08530554973424,5.51545424677423,6.34023571416843e-31,3.70551553961399e-29
"ENST00000363543",2.64057973707323,6.63308807434359,1.22022045083938e-30,6.41835957141516e-29
"ENST00000363762",3.00948342684395,7.46515557234408,6.58679369477693e-30,3.14968498495697e-28
"ENST00000363345",2.91166849111086,7.26209269641347,1.93026037752058e-29,8.13631296550562e-28
"ENST00000499635",2.36725752635805,8.13964222746483,2.01087582797668e-29,8.13631296550562e-28
"ENST00000363536",2.91240630329068,5.99926798438277,7.36602536306857e-29,2.76752095783862e-27
"ENST00000363742",2.69292242690157,6.28291522941563,1.2310575898373e-27,4.31690861502948e-26
"ENST00000363610",2.83382586513373,6.10656916143785,3.16925569977576e-27,1.04189281130128e-25
"ENST00000363593",-1.27154306052465,9.57506645833188,2.40433145759824e-25,7.43928439233338e-24
"ENST00000364699",3.44240560176894,5.47400120447201,3.77846822663887e-25,1.10415238178447e-23
"ENST00000363738",3.72321537385439,3.59110945480444,4.01128954183662e-24,1.11049384158214e-22
"ENST00000363410",2.95221260964937,5.20325859785122,7.2805165762558e-24,1.91477585955528e-22
"ENST00000365080",2.49685894704905,6.55252394482785,5.26216268753788e-22,1.31804646364044e-20
"ENST00000386683",-1.44702054145207,11.1073227910784,1.60376816215316e-21,3.83446387860256e-20
"ENST00000364995",-1.41164760056284,10.6567240725313,3.54320558585371e-21,8.10315712243067e-20
"ENST00000365178",3.02258604564218,5.01186332880743,4.91142770273156e-21,1.076421238182e-19
"ENST00000365444",-1.12317431752773,13.8959466564918,8.46015614989725e-19,1.78001685393838e-17
"ENST00000498999",2.14439269442888,3.86594828532288,7.50291194787605e-18,1.51789680176262e-16
"ENST00000364830",2.72298782331396,4.19109067058338,1.88767414885042e-17,3.67746889739009e-16
"ENST00000365328",1.63061508836779,8.14002510942517,9.18419410679404e-17,1.72531646434774e-15
"ENST00000408789",1.49176879104017,4.69939062824668,4.72032193593628e-16,8.56168737345685e-15
"ENST00000365530",-1.06917462671187,14.3376162560403,6.08848170769374e-16,1.06751379274897e-14
"ENST00000363394",1.36180569850325,6.74847287531077,1.27416122851816e-15,2.16196389096952e-14
"ENST00000386910",-1.2739399589715,7.2332188959643,1.32377928249144e-15,2.17596219559531e-14
"ENST00000384690",-1.13666348301018,8.58686213503526,1.90543704005647e-15,3.03715116081728e-14
"ENST00000391037",-1.24496208413477,4.51517516892604,2.41208326876474e-15,3.73163470403016e-14
"ENST00000408564",1.28259352558792,5.86652698530844,3.48225040668717e-15,5.233324896907e-14
"ENST00000408813",-1.38748192414407,7.38595503034634,4.98203007432572e-15,7.27929949748703e-14
"ENST00000408255",-0.873501224373507,11.3439479816309,2.6009546956989e-14,3.69757343226384e-13
"ENST00000408587",-1.07046123353793,7.4748143535778,9.06706900494197e-14,1.25507323594723e-12
"ENST00000365607",-0.909691393668873,12.470923976863,1.03255176393664e-13,1.39262109700173e-12
"ENST00000385582",1.51391683083925,11.165544200958,2.39657575105189e-13,3.15149711263324e-12
"ENST00000391145",-1.13662055673829,11.5697349041574,2.49734435243311e-13,3.20391007165808e-12
"ENST00000384320",-1.16624726002771,6.66011580596131,6.05394271041756e-13,7.58184253733247e-12
"ENST00000384134",-0.827527390913263,7.69932645920094,1.78315444241798e-12,2.18125403886478e-11
"ENST00000364802",2.43464032050574,2.88451935724738,2.00043858825124e-12,2.39143340322761e-11
"ENST00000384769",-0.894989109481499,11.8554835401813,2.17044381172318e-12,2.53700765548088e-11
"ENST00000459342",-0.974398280574147,13.7240149013666,2.77487307308645e-12,3.17300703574668e-11
"ENST00000391053",2.04313237529809,5.34249980851134,2.87463182616638e-12,3.21714115013514e-11
"ENST00000458748",-0.95164144075988,7.65110362426513,4.57919273694458e-12,5.01803204090177e-11
"ENST00000364938",1.23430955171764,6.78930013785866,6.40531307989195e-12,6.87590751025136e-11
"ENST00000384145",-0.807457061316623,7.69518700873075,1.11693485689567e-11,1.17501546945425e-10
"ENST00000458974",2.33741094453254,2.91841962451775,1.28867357006147e-11,1.32910254480849e-10
"ENST00000408535",1.57589741416869,3.53394369018379,1.35364800541027e-11,1.36926702085731e-10
"ENST00000384338",-1.00667312552069,14.5299869051831,2.76005344885518e-11,2.73922285678835e-10
"ENST00000408563",1.62471346767767,2.92793159425478,3.57999433573664e-11,3.48717966777309e-10
"ENST00000386967",0.735933291575422,10.5272576977138,4.02917684370001e-11,3.79261354250501e-10
"ENST00000364729",2.42348926126708,4.00757777474004,4.03776346730572e-11,3.79261354250501e-10
"ENST00000384262",-0.885758331950634,14.6563166047237,7.91335767213992e-11,7.30250199218526e-10
"ENST00000362396",1.05988210596907,4.2323323185691,9.37093253644865e-11,8.49846640374481e-10
"ENST00000363981",-0.819317456711949,14.7089413039077,9.67721308635267e-11,8.62748149732458e-10
"ENST00000384252",-0.681317555652771,14.9144787161775,3.55026579033343e-10,3.11239967619231e-09
"ENST00000383885",1.31543125978558,5.15614037514112,4.39185282530421e-10,3.78707309198363e-09
"ENST00000365128",1.16758834554637,5.04951279727642,5.20254888707845e-10,4.4137753461343e-09
"ENST00000391264",1.08336098229108,4.99420490673347,7.90902209079785e-10,6.60340574565027e-09
"ENST00000364799",-0.843628557116917,15.3678281752447,8.38477684970754e-10,6.89123847335338e-09
"ENST00000363484",1.3591821302535,5.55701408959586,8.94632672763566e-10,7.2396428595944e-09
"ENST00000364687",2.32544494702007,2.49890130125637,9.54523454318729e-10,7.60726268138866e-09
"ENST00000386847",1.00075850625551,4.90071064994479,1.46841473393162e-09,1.15281514932542e-08
"ENST00000459124",-0.994622811163632,6.6172015474819,1.95902693156305e-09,1.51536495000318e-08
"ENST00000459250",-0.851546160706002,5.99899913944248,3.20263963163481e-09,2.44143253078248e-08
"ENST00000365188",1.87852555838461,4.44580725638446,3.28753305357317e-09,2.4703462659707e-08
"ENST00000463081",1.06427547525151,9.03612342584949,6.80227574256704e-09,5.03943245153558e-08
"ENST00000482877",1.55470215913048,7.04812188903281,6.97772547883154e-09,5.09761611370193e-08
"ENST00000485831",1.08283453683878,8.93333906589531,1.23589837688392e-08,8.90524035946493e-08
"ENST00000365494",0.968383437314326,8.18565682943055,1.43004853164706e-08,1.01649395627885e-07
"ENST00000363217",0.934784157862515,6.52702472716719,1.50007760917549e-08,1.05205442990175e-07
"ENST00000365223",-0.771921045062896,12.7253640444328,1.97135291530635e-08,1.36438372822519e-07
"ENST00000364880",0.850454043770994,6.97453256079246,2.16294059637676e-08,1.47754123856387e-07
"ENST00000428129",1.66429802889015,2.99138112190089,2.58680846733993e-08,1.74443750489847e-07
"ENST00000459174",-0.647253280460734,11.8509541500607,3.57607363246567e-08,2.38103130465436e-07
"ENST00000383858",0.833073577665205,6.94061030009876,3.8823418188785e-08,2.55263974591261e-07
"ENST00000365633",-0.918365557932611,9.33470169817024,4.12912463968021e-08,2.67031858632804e-07
"ENST00000384687",0.811322522394503,6.95534739572147,4.16285406994105e-08,2.67031858632804e-07
"ENST00000362428",0.954301253717788,7.51045089010138,4.33536714116269e-08,2.74747363403804e-07
"ENST00000363046",-0.906996721072093,8.7713866122204,4.53227292968709e-08,2.83806614406596e-07
"ENST00000362793",0.875542531586062,6.89748231466068,6.04618727195789e-08,3.74152294711747e-07
"ENST00000391049",1.01816729604687,4.35352740561346,6.94187717050825e-08,4.24584580428761e-07
"ENST00000383875",-0.699626112836334,13.1589598329529,9.18751844107645e-08,5.55475252874277e-07
"ENST00000459163",-0.686341228980863,15.5219555172854,9.50650519487963e-08,5.68229742330305e-07
"ENST00000459433",-0.783388018603347,7.68611276770132,1.00840166696779e-07,5.95976715533773e-07
"ENST00000459083",-0.892930873822846,9.14921190019809,1.87581245272519e-07,1.09630816681495e-06
"ENST00000391196",0.825203549229067,3.83924338871488,2.05377106536539e-07,1.18712481360681e-06
"ENST00000390861",-0.610383933300091,9.37857624967645,2.40732221108427e-07,1.37636030764166e-06
"ENST00000391002",0.618295903296183,12.7344906432067,2.51735158023835e-07,1.42379239914556e-06
"ENST00000408189",-0.592983878704317,11.6753117243531,2.630491091666e-07,1.47195565342161e-06
"ENST00000364558",1.50781151025611,3.33680626893136,2.89287968532972e-07,1.6017418047194e-06
